code_voie;no_voie;code_id_commune;voie;code_departement;commune;type_de_voie;code_postal
720;9003;77;DE L HORLOGE;4;SISTERON;PL;4200.0
88;7102;78;DE L ENGIEN;4;RIEZ;PL;4500.0
A009;7003;79;LES MELEZES;4;ENCHASTRAYES;RES;4400.0
182;9500;80;DU CAMPING;4;CHATEAU-ARNOUX-SAINT-AUBAN;TRA;4160.0
1090;1;81;DES MONGES;4;DIGNE-LES-BAINS;RUE;4000.0
B052;7066;82;STATION DE SAINT JEAN;4;MONTCLAR;;4140.0
440;9002;77;DU DOCTEUR ROBERT;4;SISTERON;PL;4200.0
B029;7192;83;LA CHAPELLE;4;ALLOS;;4260.0
9;;84;DES AIRES;4;CASTELLANE;PL;4120.0
4;7078;85;DE MAZAGRAND;4;JAUSIERS;RTE;4850.0
B091;7037;86;LE VILLAGE;4;LE LAUZET UBAYE;;4340.0
24;6;87;GRANDE;4;SEYNE;RUE;4140.0
B001;7034;83;ADRECH DE CHAUVET;4;ALLOS;;4260.0
680;25;81;FRANCOIS CUZIN;4;DIGNE-LES-BAINS;AV;4000.0
1670;20;81;DU VALLON DE FARINE;4;DIGNE-LES-BAINS;RUE;4000.0
B052;7002;82;STATION DE SAINT JEAN;4;MONTCLAR;;4140.0
B030;7042;88;LE VILLAGE;4;SAINTE CROIX DU VERDON;;4500.0
B138;7398;83;PONT DE LABRAU OUEST;4;ALLOS;;4260.0
A001;24;89;LOTISSEMENT DU BERARD;4;FAUCON-DE-BARCELONNETTE;LOT;4400.0
A004;7052;79;LES CHENEVRIERS;4;ENCHASTRAYES;RES;4400.0
50;12;90;DES ALPAGES;4;BARCELONNETTE;CHE;4400.0
1;25;85;PRINCIPALE;4;JAUSIERS;RUE;4850.0
45;7300;91;DES BEAUMES;4;GREOUX-LES-BAINS;CHE;4800.0
1690;39;81;VICTOR HUGO;4;DIGNE-LES-BAINS;BD;4000.0
A247;9482;81;LE VALLON DES SOURCES;4;DIGNE-LES-BAINS;RES;4000.0
